id,Long,Lat
757,32.582,34.908
758,32.582,34.92
759,32.582,34.932
760,32.582,34.944
761,32.582,34.956
762,32.582,34.968
763,32.582,34.98
764,32.582,34.992
765,32.582,35.004
766,32.582,35.016
767,32.582,35.028
768,32.582,35.04
769,32.582,35.052
770,32.582,35.064
771,32.582,35.076
772,32.582,35.088
773,32.582,35.1
774,32.582,35.112
775,32.582,35.124
776,32.582,35.136
777,32.582,35.148
778,32.582,35.16
779,32.582,35.172
780,32.582,35.184
781,32.593,34.68
782,32.593,34.692
783,32.593,34.704
784,32.593,34.716
785,32.593,34.728
786,32.593,34.74
787,32.593,34.752
788,32.593,34.764
789,32.593,34.776
790,32.593,34.788
791,32.593,34.8
792,32.593,34.812
793,32.593,34.824
794,32.593,34.836
795,32.593,34.848
796,32.593,34.86
797,32.593,34.872
798,32.593,34.884
799,32.593,34.896
800,32.593,34.908
801,32.593,34.92
802,32.593,34.932
803,32.593,34.944
804,32.593,34.956
805,32.593,34.968
806,32.593,34.98
807,32.593,34.992
808,32.593,35.004
809,32.593,35.016
810,32.593,35.028
811,32.593,35.04
812,32.593,35.052
813,32.593,35.064
814,32.593,35.076
815,32.593,35.088
816,32.593,35.1
817,32.593,35.112
818,32.593,35.124
819,32.593,35.136
820,32.593,35.148
821,32.593,35.16
822,32.593,35.172
823,32.593,35.184
824,32.604,34.68
825,32.604,34.692
826,32.604,34.704
827,32.604,34.716
828,32.604,34.728
829,32.604,34.74
830,32.604,34.752
831,32.604,34.764
832,32.604,34.776
833,32.604,34.788
834,32.604,34.8
835,32.604,34.812
836,32.604,34.824
837,32.604,34.836
838,32.604,34.848
839,32.604,34.86
840,32.604,34.872
841,32.604,34.884
842,32.604,34.896
843,32.604,34.908
844,32.604,34.92
845,32.604,34.932
846,32.604,34.944
847,32.604,34.956
848,32.604,34.968
849,32.604,34.98
850,32.604,34.992
851,32.604,35.004
852,32.604,35.016
853,32.604,35.028
854,32.604,35.04
855,32.604,35.052
856,32.604,35.064
857,32.604,35.076
858,32.604,35.088
859,32.604,35.1
860,32.604,35.112
861,32.604,35.124
862,32.604,35.136
863,32.604,35.148
864,32.604,35.16
865,32.604,35.172
866,32.604,35.184
867,32.615,34.668
868,32.615,34.68
869,32.615,34.692
870,32.615,34.704
871,32.615,34.716
872,32.615,34.728
873,32.615,34.74
874,32.615,34.752
875,32.615,34.764
876,32.615,34.776
877,32.615,34.788
878,32.615,34.8
879,32.615,34.812
880,32.615,34.824
881,32.615,34.836
882,32.615,34.848
883,32.615,34.86
884,32.615,34.872
885,32.615,34.884
886,32.615,34.896
887,32.615,34.908
888,32.615,34.92
889,32.615,34.932
890,32.615,34.944
891,32.615,34.956
892,32.615,34.968
893,32.615,34.98
894,32.615,34.992
895,32.615,35.004
896,32.615,35.016
897,32.615,35.028
898,32.615,35.04
899,32.615,35.052
900,32.615,35.064
901,32.615,35.076
902,32.615,35.088
903,32.615,35.1
904,32.615,35.112
905,32.615,35.124
906,32.615,35.136
907,32.615,35.148
908,32.615,35.16
909,32.615,35.172
910,32.615,35.184
911,32.615,35.196
912,32.626,34.668
913,32.626,34.68
914,32.626,34.692
915,32.626,34.704
916,32.626,34.716
917,32.626,34.728
918,32.626,34.74
919,32.626,34.752
920,32.626,34.764
921,32.626,34.776
922,32.626,34.788
923,32.626,34.8
924,32.626,34.812
925,32.626,34.824
926,32.626,34.836
927,32.626,34.848
928,32.626,34.86
929,32.626,34.872
930,32.626,34.884
931,32.626,34.896
932,32.626,34.908
933,32.626,34.92
934,32.626,34.932
935,32.626,34.944
936,32.626,34.956
937,32.626,34.968
938,32.626,34.98
939,32.626,34.992
940,32.626,35.004
941,32.626,35.016
942,32.626,35.028
943,32.626,35.04
944,32.626,35.052
945,32.626,35.064
946,32.626,35.076
947,32.626,35.088
948,32.626,35.1
949,32.626,35.112
950,32.626,35.124
951,32.626,35.136
952,32.626,35.148
953,32.626,35.16
954,32.626,35.172
955,32.626,35.184
956,32.626,35.196
957,32.637,34.656
958,32.637,34.668
959,32.637,34.68
960,32.637,34.692
961,32.637,34.704
962,32.637,34.716
963,32.637,34.728
